model,Year,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,city,Price,Cre_date,Pic_num,Repub_date,Description,Color,Km,Test
סוזוקי אלטו,2013,5,ידנית,1000,בנזין,פרטית,פרטית,מודיעין,מודיעין,15000.0,2022-12-20,1,2022-12-20,גיר רגיל! במצב מצויין! אחרי טיפול קלאץ חדש צמיגים חדשים מצבר חדש מערכת מולטימדיה חיישני רוורס מצלמת רוורס טסט עד ספטמבר,שחור,156000,
סוזוקי SX4,2010,3,אוטומטית,1600,בנזין,פרטית,פרטית,מושבים,בית,20000.0,2022-12-08,5,2022-11-29,סוזוקי sx4 קצרה ונוחה בעיר ומחוץ לעיר רכב נהדר אמין ועובד טוב אני מאוד אוהב אותו  נמכר עקב מעבר לרכב 4x4  יש צמיגים חדשים בני חודשיים  התנעה חכמה של הרכב ללא מפתח מצבר חדש  הוחלף מנוע חדש לפני 50 אלף קמ  מערכת פיוניר ושני סטים של רמקולים קומפוננט של JBL  ,כסוף,265900,
סוזוקי אלטו,2015,1,אוטומטית,1200,בנזין,,,תל,תל,29000.0,2022-11-02,1,2022-11-02,None,None,91900,
סוזוקי קרוסאובר,2019,1,אוטומטית,1400,בנזין,,,רמת,הרצליה,,2022-10-31,1,2022-10-31," VITARA TURBO 23000 KM GLX שמורה יד ראשונה פרטית חלונות חשמל מערכת מובייל",None,,
סוזוקי סוויפט,2010,1,אוטומטית,1450,בנזין,,,רמת,רמת,22500.0,2022-10-29,1,2022-10-29,רכב במצב מתוחזק ברמה גבוהה טסט עד אפריל 2023,None,145000,
סוזוקי סוויפט,2008,4,אוטומטית,1500,בנזין,,,באר,באר,18000.0,2022-10-29,1,2022-10-29,"רכב סוזוקי סוויפט יד 4 פרטית יד 1 עבר במשפחה בין אחים. רכב במצב מצוין רכב אמין וחזק  צמיגים חדשים טיפולים בזמן יש,קבלות על הכל. מתחייב בבדיקה מנוע גיר ושלדה ",None,233000,
סוזוקי ספלאש,2011,1,אוטומטית,1242,בנזין,,,נס,רחובות,26000.0,2022-10-28,1,2022-10-28,"רכב במצב מעולה, ממש כמו חדש, שימש בעיקר לנסיעה בתוך העיר, מעט מאוד קילומטרים, לא עבר תאונות. מציאה !!!",None,56000,
סוזוקי סלריו,2018,2,אוטומטית,1000,בנזין,,,נס,רחובות,43000.0,2022-10-22,1,2022-10-22,"רכב נקנה ב 2018 עוד עם אחריות יצרן, נשמר מאוד מאז ועד היום. לא עבר את המאה אלף ק""מ. שמור, תוספות של מערכת עם מסך טאצ' ובלוטוס. 4 גלגלים חדשים, מצבר חדש. ",None,98000,
סוזוקי סוויפט,2014,1,ידנית,1240,בנזין,,,פרדס,פרדס,28000.0,2022-10-20,1,2022-10-20,יד ראשונה! שמור במצב מעולה הן מבחינה מכנית והן מבחינה אסטתית. חסכוני מאוד בדלק בזכות ההילוכים הידניים. טופל באופן סדיר במוסכים מורשים של סוזוקי בלבד. צבע אדום יפהפה. ללא תאונות! טסט לשנה! מסירת הרכב בכרכור.,None,205000,
סוזוקי SX4,2019,1,אוטומטית,1400,בנזין,,,רעננה,כפר,107000.0,2022-10-20,1,2022-10-20,"רכב במצב מעולה  עבר טיפולים במוסך החברה . עשה מעט קילונטראז 35,000 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; הרכב מגיע עם  מולטימדיה , חלונות חשמל,  חיישני רוורס קדימה וצדדים.  ",None,35000,
סוזוקי אלטו,2011,4,ידנית,996,בנזין,,,רעננה,רעננה,16500.0,2022-10-19,1,2022-10-19,"צ׳יקיטה האהובה שלי מטופלת יפה, חסכונית מאוד. הייתה אצלי 3 שנים נהדרות, מוכר כי יצאתי לטייל מסביב לעולם. המכירה ברעננה, מול אבא שלי. (אני בדרך לפפואה). בבקשה לכתוב לי *ווצאפ*",None,168000,
סוזוקי SX4,2012,1,אוטומטית,1586,בנזין,,,חולון,חולון,41000.0,2022-10-17,1,2022-10-17," &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; יד ראשונה, ללא תקלות, שמור מאוד, מטופל במוסך מורשה",None,78600,
